id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
EA5TPR1_3236,"A5 RED NOTEBOOK - THINKING PROCESS","Los cuadernos Premium A5 son ideales para dibujar, tomar notas, bullet journal y más.  Ya sea que lo uses para la oficina o lo lleves contigo a donde vayas, un cuaderno A5 es una forma versátil de capturar esos momentos inesperados de inspiración. Envíos a todo el país.Recibe este producto en: 3 - 5 días laboralesEste producto se envía desde: Medellín",https://almadelascosas.com/wp-content/uploads/2020/09/alma_A5T.P_RED.jpg,https://almadelascosas.com/producto/a5-red-notebook-thinking-process/,"Accesorios, Oficina, Arte y colección, Inicio de Año, Papelería especial, Regalos, Regalos para mí","Alma de las Cosas",36190COP,in stock,EA5TPR1_3236,,"https://almadelascosas.com/wp-content/uploads/2020/09/ALMA_T.P-OPEN.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/alma_redinterior.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,36190COP,new,published,,,,,,,
EA5SHB1_3168,"A5 NOTEBOOK - CABALLO DE MAR","Los cuadernos Premium A5 son ideales para dibujar, tomar notas, bullet journal y más.  Ya sea que lo uses para la oficina o lo lleves contigo a donde vallas, un cuaderno A5 es una forma versátil de capturar esos momentos inesperados de inspiración. Envíos a todo el país.Recibe este producto en: 3 - 5 días laboralesEste producto se envía desde: Medellín",https://almadelascosas.com/wp-content/uploads/2020/09/alma_A5SEAHORSE_BTX.jpg,https://almadelascosas.com/producto/a5-notebook-caballo-de-mar/,"Accesorios, Oficina, Arte y colección, Inicio de Año, Papelería especial, Regalos, Regalos para mí","Alma de las Cosas",36190COP,in stock,EA5SHB1_3168,,"https://almadelascosas.com/wp-content/uploads/2020/09/alma_B5BACK_BLACK.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,36190COP,new,published,,,,,,,
Rosa artesanal de papel_3079,"Rosa artesanal de papel","Tenemos para ti algo realmente único y original para que decores ese rinconcito que tanto adoras de la casa o le des a una persona especial. Rosa de papel italiano, hecha 100% a mano. Puedes escoger varias flores y armar tu ramo!!Recibe este producto en: 3 - 5 días laborales",https://almadelascosas.com/wp-content/uploads/2020/09/rosas_de_papel_alma_de_las_cosas_5.jpg,https://almadelascosas.com/producto/rosa-artesanal-de-papel/,"Arte y colección, Flores de papel","Alma de las Cosas",70000COP,in stock,Rosa artesanal de papel_3079,,"https://almadelascosas.com/wp-content/uploads/2020/09/rosas_de_papel_alma_de_las_cosas.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/rosas_de_papel_alma_de_las_cosas_2.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/rosas_de_papel_alma_de_las_cosas_3.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/rosas_de_papel_alma_de_las_cosas_4.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,70000COP,new,published,,,,,,,
Girasol artesanal de papel_3067,"Girasol artesanal de papel","Tenemos para ti algo realmente único y original para que decores ese rinconcito que tanto adoras de la casa o le des a una persona especial. Girasol de papel italiano, hecha 100% a mano.Recibe este producto en: 3 - 5 días laborales",https://almadelascosas.com/wp-content/uploads/2020/09/girasol_de_papel_alma_de_las_cosas.jpg,https://almadelascosas.com/producto/girasol-artesanal-de-papel/,"Arte y colección, Flores de papel","Alma de las Cosas",100000COP,in stock,Girasol artesanal de papel_3067,,"https://almadelascosas.com/wp-content/uploads/2020/09/girasol_de_papel_alma_de_las_cosas_2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,100000COP,new,published,,,,,,,
Margaritas de papel_3046,"Margarita artesanal de papel","Tenemos para ti algo realmente único y original para que decores ese rinconcito que tanto adoras de la casa o le des a una persona especial. Margarita de papel italiano, hecha 100% a mano. Puedes escoger varias flores y armar tu ramo!!Recibe este producto en: 3 - 5 días laborales",https://almadelascosas.com/wp-content/uploads/2020/09/margaritas_de_papel_alma_de_las_cosas_2.jpg,https://almadelascosas.com/producto/margaritas-de-papel/,"Arte y colección, Flores de papel","Alma de las Cosas",50000COP,in stock,Margaritas de papel_3046,,"https://almadelascosas.com/wp-content/uploads/2020/09/margaritas_de_papel_alma_de_las_cosas.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/margaritas_de_papel_alma_de_las_cosas_3.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/margaritas_de_papel_alma_de_las_cosas_4.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,50000COP,new,published,,,,,,,
202005_2970,"Tambora Frase Decorativa","Elige para ti o para regalar, una frase especial y conviértela en un bordado decorativo que le dará un toque único a cualquier espacio.Recibe este producto en: 3 - 5 días laborales",https://almadelascosas.com/wp-content/uploads/2020/09/Screenshot_20200909_185414.jpg,https://almadelascosas.com/producto/tambora-frase-decorativa/,"Arte y colección, Bordados de colección","Alma de las Cosas",80000COP,in stock,202005_2970,,"https://almadelascosas.com/wp-content/uploads/2020/09/Screenshot_20200909_185441.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/Screenshot_20200909_185333.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/Captura-de-Pantalla-2020-09-30-a-las-14.19.36.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,80000COP,new,published,,,,,,,
Kit Banderines macrame portafotos_2923,"Kit Banderines macrame portafotos","Kit para tejer banderines en macramé portafotos. Porque sabemos que no hay nada más especial que tener los momentos donde fuimos felices presentes, pensamos en ayudarte a anudar recuerdos y llenar esos espacios de magia. Envíos a todo el país.Recibe este producto en: 3 - 5 días laboralesEste producto se envía desde: Medellín",https://almadelascosas.com/wp-content/uploads/2020/09/banderin5-scaled.jpg,https://almadelascosas.com/producto/kit-banderines-macrame-portafotos/,"Créalo tu mismo, Bordado, Hogar y decoración, Regalos, Regalos para pareja","Alma de las Cosas",65000COP,in stock,Kit Banderines macrame portafotos_2923,,"https://almadelascosas.com/wp-content/uploads/2020/09/banderin1-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/banderin2-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/banderin4-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/banderin6-scaled.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/banderin3-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65000COP,new,published,,,,,,,
4001_2768,"Kit Cajas de Chocolate","Te traemos esta cajita llena de dulzura y mucho amor, para que el corazón de tus personas favoritas nunca de CHOCO-latear. En tu caja encontraras: 4 cajas de chocolate con dos barras de 22 gr cada una (Leche de coco, Quipitos, Meta 75% y Café 70%). Envíos a todo el país.Recibe este producto en: 3 - 5 días laboralesEste producto se envía desde: Bogotá",https://almadelascosas.com/wp-content/uploads/2021/03/IMG_94791606925871697-01.jpeg,https://almadelascosas.com/producto/kit-cajas-de-chocolate/,"Regalos, Regalos para mí, Regalos para pareja, Regalos para un familiar, Regalos para una amistad, Repostería especial y bebidas, Repostería para eventos","Alma de las Cosas",47600COP,in stock,4001_2768,,"https://almadelascosas.com/wp-content/uploads/2021/03/31-scaled.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,47600COP,new,published,,,,,,,
P7_2290,"Un nuevo chef en casa","Un nuevo chef en casa, es un producto que busca incluir al niño en la cocina y que sea el protagonista en la preparación de cada una de las recetas e incentivarlo a probar nuevos sabores y nuevos alimentos.Preparar las recetas en familia, permite tener un espacio de conexión con l@s niñ@s, es una actividad en la que ellos se van a divertir y podrán desarrollar habilidades como: la lógica, seguir instrucciones, motricidad fina, la comunicación, la confianza en sí mismos, trabajar en equipo, la autonomía, el gusto por la cocina, entre muchos otros. Envíos a todo el país.Recibe este producto en: 3 - 5 días laboralesEste producto se envía desde: Medellín",https://almadelascosas.com/wp-content/uploads/2020/08/Nuevo-chef-en-casa-Tinela.jpg,https://almadelascosas.com/producto/un-nuevo-chef-en-casa/,"Niños y bebés, Regalos, Regalos para niños y niñas","Alma de las Cosas",85000COP,in stock,P7_2290,,"https://almadelascosas.com/wp-content/uploads/2020/09/Libro-de-recetas-para-niños-niñas-Tinela.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/Delantal-niño-niña-2t-4t-Tinela.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/delantal-niño-niña-5t-7t-Tinela.jpg,https://almadelascosas.com/wp-content/uploads/2020/09/Tula-nuevo-chef-en-casa-Tinela.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,85000COP,new,published,,,,,,,
KIT04_2685,"KIT RELAJACIÓN","Respira hondo y baja el ritmo, disfruta de un momento completo de tranquilidad y paz, en esta caja encontraras todo lo necesario para que en tu día reine la calma. Enciende la vela y date un baño donde disfrutaras la mezcla de deliciosos aromas. Usa la bomba efervescente al final de la jornada para descansar tus pies. Envíos a todo el país.Recibe este producto en: 1 - 3 días laboralesEste producto se envía desde: Bogotá",https://almadelascosas.com/wp-content/uploads/2020/08/KIT-RELAX.jpg,https://almadelascosas.com/producto/kit-relajacion/,"Bienestar y belleza, Aromaterapia, Regalos, Regalos para mí, Regalos para papá y mamá, Regalos para un familiar, Regalos para una amistad","Alma de las Cosas",46200COP,in stock,KIT04_2685,,"https://almadelascosas.com/wp-content/uploads/2020/08/VELA-FRUTOS.jpg,https://almadelascosas.com/wp-content/uploads/2020/10/kit_bienestar_empaque_alma_de_las_cosas.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,46200COP,new,published,,,,,,,
